"栏目","字段","采购方填写","示例或说明"
"项目","项目或品牌名称","","所有文件统一使用的内部项目名"
"产品","产品类型","","毛绒动物、吉祥物、公仔、抱枕、挂件、授权IP"
"产品","使用场景与目标年龄","","3岁以上零售玩具、促销品、收藏品"
"设计","已有设计资料","","附正面、侧面、背面图及源文件"
"设计","授权IP状态","","注明权利人及授权文件状态"
"规格","成品尺寸与公差","","注明站高或坐高，单位厘米"
"规格","目标单件重量","","注明可接受公差"
"材料","外层面料","","水晶超柔、短毛绒、Minky、有机棉等"
"材料","填充物","","PP棉、再生聚酯、海绵、颗粒等"
"装饰","绣花、印花与配件","","附Pantone色号和Logo文件"
"数量","每款/每色数量","","区分试单数量与年度预测"
"合规","销售国家","","测试要求取决于市场和目标年龄"
"合规","所需测试或文件","","ASTM F963/CPSIA/CPC、EN 71/CE/DoC或买家标准"
"包装","单品包装","","OPP袋、礼盒、展示盒、FSC纸箱"
"包装","标签与条码","","洗标、追踪标签、EAN/UPC/FNSKU"
"物流","期望样品日期","","YYYY-MM-DD"
"物流","期望大货交付日期","","YYYY-MM-DD"
"物流","贸易条款与目的地","","EXW、FOB宁波/上海、CIF或DDP"
"商务","目标价或预算","","注明币种及是否包含运费"
"商务","付款或供应商准入要求","","验厂、保险、系统或文件要求"
"附件","已附文件","","设计稿、参考图、技术包、品牌规范"
