"Section","Field","Buyer input","Example / guidance"
"Project","Project or brand name","","Internal name used on all files"
"Product","Product type","","Stuffed animal, mascot, pillow, keychain, licensed IP"
"Product","Intended use and target age","","Retail toy for ages 3+, promotional item, collectible"
"Design","Artwork available","","Front, side and back views; attach source files"
"Design","Licensed IP status","","State rights holder and authorization status"
"Specifications","Finished size and tolerance","","Standing or seated height in cm"
"Specifications","Target unit weight","","Include acceptable tolerance"
"Materials","Outer fabric","","Minky, velboa, crystal super soft, organic cotton"
"Materials","Filling","","PP cotton, recycled polyester, foam, beads"
"Decoration","Embroidery, print and accessories","","Attach Pantone colors and logo files"
"Quantity","Units per style / color","","Separate trial order and annual forecast"
"Compliance","Destination countries","","Testing depends on market and target age"
"Compliance","Required tests or documents","","ASTM F963/CPSIA/CPC, EN 71/CE/DoC, other buyer protocol"
"Packaging","Unit packaging","","Polybag, gift box, display box, FSC carton"
"Packaging","Labels and barcodes","","Care label, tracking label, EAN/UPC/FNSKU"
"Logistics","Requested sample date","","YYYY-MM-DD"
"Logistics","Requested bulk-delivery date","","YYYY-MM-DD"
"Logistics","Incoterm and destination","","EXW, FOB Ningbo/Shanghai, CIF or DDP"
"Commercial","Target price or budget","","State currency and whether freight is included"
"Commercial","Payment or vendor-onboarding requirements","","Audit, insurance, portal or documentation needs"
"Attachments","Files included","","Artwork, reference images, tech pack, brand guide"
